participantlabel,r3score
5384dca7fdf99b381c04cbac,17
544e94c4fdf99b50bd30726c,25
54cf4c6ffdf99b46b96bab9a,8
55747e4afdf99b6752df4183,8
55885869fdf99b4020ba0b64,18
55887ef3fdf99b5a48cf2cb3,24
558955ebfdf99b6bd06016c9,27
559272f4fdf99b7e42e96932,18
559d75befdf99b1e2b2dc522,16
55b5f6b6fdf99b713277dc94,10
55b8d0bffdf99b0f2859fe73,33
55bb9ae7fdf99b26d27fda01,17
55d0761e34e9060012e5782a,11
55d51a6b8ce09000127d4821,16
55e356dac70c7a00052a57ec,17
55e876f25e4d360012cc283d,20
55eee81b9df9fe000efae1d4,16
562a2eaac8ffc20012514145,17
563fc664074be600055e9677,0
566d5997d408ea00051a2a86,22
56780a5a89319e0011644cb4,17
567dd32b4f0ef30006dbb718,6
56818073c5767f00121d21c5,12
5685850c333cbd000d4e042f,21
568708c6369319000c268f8d,3
56888951d7848e000c39a122,2
568aab53316b10000d50d76b,16
568e7e33e3ef9e000da202a7,10
56ab82d869b247000d5ccf0a,16
56b6e889f2fc70000b32f99e,9
56bd7bf3d4e2180005a86846,17
56bfcce79f7a1e0005fdca9e,9
56c81007ba8e37000d7b211e,16
56cf595331a5bc000be1c8c9,8
56d1af6521cd29000b973ff2,8
56d1f7f67bbc32000589a588,16
56d84c584a9be1000a535f9c,8
56f92b84895094000b8f485a,9
56fb454534a0d300061a5070,18
5702fde2d4cf7f00089471f3,17
570570eb61ab6a0010d484d0,17
57160a57cd6ea20011dae249,12
57165ba7c5aca2000a8d32ca,25
571bdaa76b0894001362f780,16
571fdcb14b8ecc0013c24fcb,5
572b912c3ab9df000dba9eef,29
574cca765e5491000f3c89e0,9
574ce0a57fd0ec000db73aa6,13
5763c7d096fd3c0006385bb4,13
577e1f75160201000103d95a,16
5797564b70c76a0001245734,18
57a3de9ddcff7d0001c7d35a,24
57c725d89a5f4f0001f661bd,8
57d5ab3a722df500017f3622,23
57db00fcb9fb6f0001dda512,4
57fde8979c39b3000179e347,11
5800eb53beccf8000100cb06,11
5807b8dac7b1100001138e89,15
58106d17a513590001b1ec9e,9
5810dfccaba80400016f13ea,17
581d38509b5b8800014d507e,16
582468295f4d1c0001c7c467,16
583ef6f5ad2f4300014b358d,16
5855b89fee6ade0001fa2f45,9
5858c6178604ae000165e66a,10
586d6b28de1cea0001f7a125,24
586fabdf2bd3c900018599a9,16
5883d68d300c0b000113db56,9
588938e3b08cc30001b77771,16
588a59813e1f290001aa78c1,12
5898e520979a590001d21df2,13
58a43e029a17120001d910d5,14
58a5cf959e040a0001399f07,24
58ad509da7d4580001044215,10
58dedd9f167bc20001b4a66d,11
59014a56baa70f0001ea4c3b,16
590d0c9c1211f9000142af16,16
590dd1c5584166000110eb16,16
5922fd354d88c800013cb29b,12
593675594e31b50001ce1a08,18
5942d73df8bfc00001985c3c,14
594a481105e73f0001450009,16
594a969df0ea1b0001558178,19
