participantlabel,r3score
55e876f25e4d360012cc283d,20
56cf595331a5bc000be1c8c9,8
5702fde2d4cf7f00089471f3,17
583ef6f5ad2f4300014b358d,16
588a59813e1f290001aa78c1,12
5898e520979a590001d21df2,13
596e1edd39e9d00001b7bb98,19
599ab130b5566b0001aa85bb,10
59e481a5e75b450001a690f9,9
59e71a3b1ac65d0001eb47ac,16
5a00f2cdff266c0001d1f42c,20
5a0e9f5c9b760100013a7944,12
5a5e1ae68e6259000176271d,14
5a8c5f67000dab00018cd8f0,16
5a8e886f0f1bce0001227b49,16
5a9ad69adbdb470001eee577,12
5a9c91196219a30001f534a5,16
5b0d1b8e444cef0001ca66ac,13
5b1bc42168a5ed0001737ef3,13
5b228fcf50fde60001033592,16
5b2e41eb1d2f710001fb32db,11
5b2fda4e530770000105a60a,18
5b99663d4cefb60001e7a214,20
5bbd0782ba8d7d000194dcc4,19
5bd283469afb5b00015bdd5a,15
5be4c8d0d4079000014c0998,11
5bf1de1556a321000106fae0,17
5c38dab0f0ae4c00011238c1,20
5c3f080b8cb6f5000180a8c9,19
5c40134b1580e900012320ab,19
5c51c71e556ac300018be1b7,11
5c6ae4c31b9d0e000190bacc,17
5c6df5298c5fd30001b83926,13
5c927effc719fc00157df08d,9
5cb77fa063c0780017857c2e,14
5cd1a622fa7c8b0001a48044,18
5cd1d1f7db7024000195cc75,20
5cdc899d48d5f100195fafff,4
5cf66ed8912f0b0017c50b52,8
5d07ce4eb4fd5c001cee075c,19
5d0e091ccd9c9300191cb9c9,18
5d260d4255a29b0017698915,16
5d35c29a467d18001981d677,12
5d41d708128a05000183c461,16
5d5a48a67ca41f0001e97f8b,19
5d9750fe74d24900145633a7,11
5da8566c033d5700135798fb,17
5dbf5fe16849043f135aa2c0,18
5dcf402982569a08ddd84086,14
5dd6e8e3e426bd67d5b1c7e0,26
5dd864447beb29822b6c1e86,19
5de21543762dc22548c937b3,10
5e13ad514c81b2a01ae4aa9f,6
5e2881eaa9af590560d04047,10
5e38777a87243b095c67543b,13
5e6977731ff38b22e8654bc4,10
5e718c86686c0c0b7759f340,24
5e7a2ccd69a7770604dfb352,19
5e98e245aa25c6120f522a40,20
5e9f383061281c0c4c598dc9,18
5e9f6d2a0f600f0dc07ea1f8,17
5ea96c415a6a4e068b6d1e84,17
5ed40545225e613ba9f16b57,17
5ee55d2d0eccfc2a733ad0db,28
5eecb9e2c93c1e0677084323,16
5ef660beebde2833d8492e58,11
5f0736cfad4f1e0c3c838655,21
5f1072dbfd703f084bb995f7,17
5f111456d672e8471ca03f46,8
5f273a1646f68e514633ee27,17
5f58c306ee03f104eb88bae3,11
5fe469705312ca1c46a69898,12
60023df907eaeb22b2f70789,17
6009f30d89becb1172102508,12
60151380a2273d594f63aae3,13
603f82cb2fafec01e1d6470a,11
