participantlabel,r3score
55747e4afdf99b6752df4183,8
55885869fdf99b4020ba0b64,18
55bb9ae7fdf99b26d27fda01,17
55d0761e34e9060012e5782a,11
55eee81b9df9fe000efae1d4,16
562a2eaac8ffc20012514145,17
563fc664074be600055e9677,0
56780a5a89319e0011644cb4,17
567dd32b4f0ef30006dbb718,6
56818073c5767f00121d21c5,12
568708c6369319000c268f8d,3
56888951d7848e000c39a122,2
568e7e33e3ef9e000da202a7,10
56bd7bf3d4e2180005a86846,17
56bfcce79f7a1e0005fdca9e,9
56c81007ba8e37000d7b211e,16
56cf595331a5bc000be1c8c9,8
56d1af6521cd29000b973ff2,8
56d1f7f67bbc32000589a588,16
56f92b84895094000b8f485a,9
56fb454534a0d300061a5070,18
571bdaa76b0894001362f780,16
571fdcb14b8ecc0013c24fcb,5
572b912c3ab9df000dba9eef,29
574ce0a57fd0ec000db73aa6,13
577e1f75160201000103d95a,16
57db00fcb9fb6f0001dda512,4
57fde8979c39b3000179e347,11
583ef6f5ad2f4300014b358d,16
5855b89fee6ade0001fa2f45,9
5883d68d300c0b000113db56,9
588938e3b08cc30001b77771,16
5898e520979a590001d21df2,13
58a43e029a17120001d910d5,14
58a5cf959e040a0001399f07,24
58ad509da7d4580001044215,10
58dedd9f167bc20001b4a66d,11
590d0c9c1211f9000142af16,16
590dd1c5584166000110eb16,16
5922fd354d88c800013cb29b,12
5942d73df8bfc00001985c3c,14
5967e9a831394d0001abdb3f,16
596e7593b174180001756f23,17
59789a60bf453d00010a94c7,9
597fe89a1b41a20001749f57,13
59d4c100078dbe0001951236,16
59d4e426c618a50001cf5cab,9
59d68c3fe776fd00015ec519,19
59e71a3b1ac65d0001eb47ac,16
59e71a97896cfc0001921899,20
59ef9be762637600014a873d,17
59f8a0bbf4217300016cc405,19
59fd7b4a728b1b0001ad86fc,8
59ff1a23f2e3460001eda6d5,14
5a0b06c9746ac2000157fb4f,24
5a0b42e4fe645f0001e9f480,21
5a2846ceb4a5de00011af418,11
5a460b57b77a5000014a890c,21
5a46d551b77a5000014a8ce9,11
5a496776f7b7bc00014e1150,4
5a4ff86beedc32000141f232,2
5a585915eedc320001426e89,9
5a5e1ae68e6259000176271d,14
5a6b53f3e70ca900017ab75a,8
5a70b6b882968f0001a6b12f,10
5a75d51a0f1bce0001219703,9
5a8c5f67000dab00018cd8f0,16
5a8e886f0f1bce0001227b49,16
5a9ad69adbdb470001eee577,12
5a9bcd3f1eda410001366c55,14
5a9bff3b6475f900019ffc51,8
5a9c4162b5e2110001c6d247,9
5a9d223b89de8200013f1893,16
5aa462af873cda00010d5b51,11
5aabd6cb44adc700014c865c,18
5acc6abbfa3b4e000173c8b5,16
5ad4a1eb754a0d0001622e5e,10
5ae88efd9d82560001bdc598,13
5aeb5aba7ed5460001572dad,22
5af1cf73c36b060001f7efe7,21
5b0710e7a84dcf0001beee8a,10
5b0b08941e55760001b94b98,11
5b0d1b8e444cef0001ca66ac,13
5b100cb0a3553300017541c8,16
5b2122b319113a0001168cd4,11
5b281303007d870001c7f24a,5
5b29ed150ec82d0001d26cf8,12
5b2e41eb1d2f710001fb32db,11
5b4a3ab1bc06c90001f902f4,12
5b4ec32e995d4e00010944ce,16
5b52f4933234ab00014ca442,16
5b6db242d2eae00001934fd9,17
5b6f5150410d9d0001a551e4,9
5b7467ea50075a0001107043,0
5b7535d184850400011a07b8,8
5b757a03976ecb0001b1168f,9
5b91a7f012fa940001a30997,10
5b99663d4cefb60001e7a214,20
5ba248657b196f0001967f28,9
5ba641d1168e5e0001e4275d,19
5bb3e443951bd40001f1e0fd,12
5bbd0782ba8d7d000194dcc4,19
5bc913d99427200001dd47f5,16
5be097554c397b0001ec38a6,13
5be2ef2206c23800019f4731,16
5be4c8d0d4079000014c0998,11
5be5c05fd153f500019a2ef2,6
5bf408f7f35e0c000101693a,10
5c0558b8553fb80001191980,2
5c0c3112594d92000167bdcd,8
5c1813d5d2790700010a718f,14
5c1ebf5f658e9200017ae7e9,12
5c20056791305c000171dcd9,16
5c38dab0f0ae4c00011238c1,20
5c3f080b8cb6f5000180a8c9,19
5c40134b1580e900012320ab,19
5c4266e71fad93000122d5cf,17
5c43a1f04dc8b90001ce5895,16
5c4f7b99b33a5300013dbfdd,16
5c55dfdcb419770001c0e8eb,16
5c56025fcb61950001038a76,8
5c5ca0ce4ee81200018eaf51,16
5c5cad876d0fe50001f0390c,26
5c5ff87f8c0552000109d7de,17
5c6ae4c31b9d0e000190bacc,17
5c6d67f4a9317a00011fe203,17
5c6df5298c5fd30001b83926,13
5c72af4a04d7bc00013899b3,8
5c7c1f95e926fc00160b4b45,18
5c88cfc680858000011363df,8
5c8d4db8c6eef00001bd2510,9
5c927effc719fc00157df08d,9
5c98db753df5fc0016e3baed,13
5ca4b562613eb10015b6e5f8,4
5cb128db0d14d3001838eef5,8
5cb4ba4be73904000194a733,10
5cb77fa063c0780017857c2e,14
5cce9b46b09ec90015f3ef05,19
5cedaba627d8ce00018469bb,18
5cf245d4639b150018eb7351,11
5cf3ce21392ca30016117ebb,1
5cf66ed8912f0b0017c50b52,8
5cfe7e8bc2acc60001196300,17
5cfebb94eafc4d001a62cbc9,20
5d04c56a0b54cc0001dad608,15
5d07ce4eb4fd5c001cee075c,19
5d092c1f7dad2200193be669,18
5d0e091ccd9c9300191cb9c9,18
5d0f9b5a905351000124f56c,28
5d150669b296b500187df8f9,24
5d192384c1e685001a907257,17
