participantlabel,r3score
56cf595331a5bc000be1c8c9,8
583ef6f5ad2f4300014b358d,16
5898e520979a590001d21df2,13
59e71a3b1ac65d0001eb47ac,16
5a5e1ae68e6259000176271d,14
5a8c5f67000dab00018cd8f0,16
5a8e886f0f1bce0001227b49,16
5a9ad69adbdb470001eee577,12
5b0d1b8e444cef0001ca66ac,13
5b2e41eb1d2f710001fb32db,11
5b99663d4cefb60001e7a214,20
5bbd0782ba8d7d000194dcc4,19
5be4c8d0d4079000014c0998,11
5c38dab0f0ae4c00011238c1,20
5c3f080b8cb6f5000180a8c9,19
5c40134b1580e900012320ab,19
5c6ae4c31b9d0e000190bacc,17
5c6df5298c5fd30001b83926,13
5c927effc719fc00157df08d,9
5cb77fa063c0780017857c2e,14
5cf66ed8912f0b0017c50b52,8
5d07ce4eb4fd5c001cee075c,19
5d0e091ccd9c9300191cb9c9,18
5d260d4255a29b0017698915,16
5d41d708128a05000183c461,16
5d5a48a67ca41f0001e97f8b,19
5da8566c033d5700135798fb,17
5dcf402982569a08ddd84086,14
5dd6e8e3e426bd67d5b1c7e0,26
5dd864447beb29822b6c1e86,19
5e13ad514c81b2a01ae4aa9f,6
5e2881eaa9af590560d04047,10
5e38777a87243b095c67543b,13
5e6977731ff38b22e8654bc4,10
5e7a2ccd69a7770604dfb352,19
5e9f6d2a0f600f0dc07ea1f8,17
5ed40545225e613ba9f16b57,17
5ef660beebde2833d8492e58,11
5f111456d672e8471ca03f46,8
5f273a1646f68e514633ee27,17
5f58c306ee03f104eb88bae3,11
60023df907eaeb22b2f70789,17
603f82cb2fafec01e1d6470a,11
605e491b152b38b079a9ca7c,9
609c2dcbc88bdd19e0be4b98,10
60abbb05288f7eeb1312c3b7,0
60ed501279c68ea1a313d0aa,10
6105ba07b4fa0867eaed2f5b,14
6148bbcd519a30b146897026,11
6156e5a04232a8cff11724d6,13
62029a95ef1cb18a1337c695,17
6277dd39dea28b8907aeef70,20
627966f3451caac7a46ca880,17
62b08773cf2ee3e1920099c8,13
62b2510090c080a481c2c8ef,14
62c9ed717a2882d689eb27c1,19
62e02a2a855dd1f36566ea7a,19
63d29a1e50cf0f82998d2564,13
63d408a690705bd9c54c50a6,16
63e5885f80bfde889d559aa9,16
63ea6344bf5cfafd40b0dce2,16
64359e5b9995e7d3b31bc2fc,16
654514db35400eff3daddcf5,17
6547a144c2b79e88bad24eab,17
6557bcf605279f9c3e10c6cf,11
65ae75b0066b2d1c8156bae2,17
65cead31ddb7be095dddd3ee,20
65f284445bd9d57a7c6c634f,10
65f8dbfcf51858f174eb7caa,13
6639038205f5175bb2fefbe4,16
66465afcd7be26227a70ea74,11
66479cbe39361370f0d85484,16
664f41aa9da79278f9638bd5,10
665722639f7a09a8815bf198,10
665762fdab6df18f5032505b,16
6657f15cef4ca4b8c204a8fd,8
6658c5911429bc1ab0372a89,16
6665a806be52905a784f7437,11
66684b1580d4a4d68d9f6d16,14
6676f27aa0f8e728925fab55,16
667ac006811ee1f6ab6be9cd,24
667c80ad23f9daa7c9e0470a,18
66855d242110c5a64bff991b,16
668f8d7343028ae0faa7a907,13
66927c8697feb698d0b600d1,15
66951ddbfab86d4133dfb14a,19
669e61adbefb042cfd423117,18
66a0927ece1a5dca873770d2,17
66a8eda4f49a5a822db402ef,13
66a94c224273fab59f0b2c71,9
66b527207f451bf6e0f07cac,8
66ef7a5b05edfd0f5bed68a6,14
67045932c671e52de9f8bc4c,17
67261e11a3b1f0efae30f22e,8
6728332a47c2c47f9daef26f,17
674d4315219570a745daddc3,10
6751acc5dc78128951a34f1f,9
675f3be0be195f020b9fc600,13
676cf85a261dedbddea3e240,12
676df4319d4ed64ca5e20cdc,17
6774ba2b35bfe170ef2d7c87,16
6775aacf5a466dcc31d5b368,8
6776c640c441a770cf2f7db5,9
677d6b29b44ccabd2fce33cb,10
678c712ee0a31cf51476dfca,12
678da017eecfeb40cd30b706,12
678e978dfeca0ba2fca8109f,20
67a54503a9d38ce3140394eb,16
67ad517b1efac540ebdd1752,12
67effc951ce344a94949e0e7,16
67f000137a872d98794640b1,16
681561229a9918d9b5803acc,1
595339f4ad2ce90001b88266,19
