participantlabel,r3score
5384dca7fdf99b381c04cbac,17
544e94c4fdf99b50bd30726c,25
54cf4c6ffdf99b46b96bab9a,8
55887ef3fdf99b5a48cf2cb3,24
558955ebfdf99b6bd06016c9,27
559272f4fdf99b7e42e96932,18
559d75befdf99b1e2b2dc522,16
55b5f6b6fdf99b713277dc94,10
55b8d0bffdf99b0f2859fe73,33
55d51a6b8ce09000127d4821,16
55e356dac70c7a00052a57ec,17
55e876f25e4d360012cc283d,20
566d5997d408ea00051a2a86,22
5685850c333cbd000d4e042f,21
568aab53316b10000d50d76b,16
56ab82d869b247000d5ccf0a,16
56b6e889f2fc70000b32f99e,9
56d84c584a9be1000a535f9c,8
5702fde2d4cf7f00089471f3,17
570570eb61ab6a0010d484d0,17
57160a57cd6ea20011dae249,12
57165ba7c5aca2000a8d32ca,25
574cca765e5491000f3c89e0,9
5763c7d096fd3c0006385bb4,13
5797564b70c76a0001245734,18
57a3de9ddcff7d0001c7d35a,24
57c725d89a5f4f0001f661bd,8
57d5ab3a722df500017f3622,23
5800eb53beccf8000100cb06,11
5807b8dac7b1100001138e89,15
58106d17a513590001b1ec9e,9
5810dfccaba80400016f13ea,17
581d38509b5b8800014d507e,16
582468295f4d1c0001c7c467,16
5858c6178604ae000165e66a,10
586d6b28de1cea0001f7a125,24
586fabdf2bd3c900018599a9,16
588a59813e1f290001aa78c1,12
59014a56baa70f0001ea4c3b,16
593675594e31b50001ce1a08,18
594a481105e73f0001450009,16
594a969df0ea1b0001558178,19
596e1edd39e9d00001b7bb98,19
5991b5cd7d29e700017303bb,2
599ab130b5566b0001aa85bb,10
599ec7dc617ca80001fcd124,13
59b859e711212f0001cd10ff,17
59bc49e93c45a10001ccc853,16
59cff8eed227970001199862,17
59d395800118340001369be1,16
59d4b084115096000190dbce,17
59dc80b77f3d71000171d3c8,12
59e481a5e75b450001a690f9,9
59e8502b7f3d71000171df0a,12
59ef022eae9f950001d84a43,11
59fd4a71f5b5a3000139379c,16
5a00f2cdff266c0001d1f42c,20
5a0e9f5c9b760100013a7944,12
5a1342b7f2e3460001edbfd2,4
5a3a570307245d0001fc0692,9
5a4d194c87c6f8000137d680,25
5a5d1194acc75b00017a7b8f,17
5a5f4571f6c5170001954a38,16
5a75e9c119042000015569af,16
5a7889d32a842c0001fc3cbe,16
5a870482f49c9a0001f3941b,12
5a9c91196219a30001f534a5,16
5a9fa90f873cda00010d29d8,13
5aa04de4dbdb470001ef1dd5,16
5aad21134ea21d000101bbff,9
5abf3b30a3ba7a0001b46efa,4
5ade0203066c510001d42abf,16
5ae31b59ea9a600001986fac,19
5af2a03697a14300017d2ba4,24
5af344dfdf9933000161f47a,20
5af3aa0e97a14300017d3c6e,21
5b07b71c68eff50001d1c859,16
5b098ce4e80ba400017f75de,17
5b1bc42168a5ed0001737ef3,13
5b228fcf50fde60001033592,16
5b233660648d5b0001b7de87,2
5b2fda4e530770000105a60a,18
