participantlabel,r3score
55e876f25e4d360012cc283d,20
5702fde2d4cf7f00089471f3,17
588a59813e1f290001aa78c1,12
596e1edd39e9d00001b7bb98,19
599ab130b5566b0001aa85bb,10
59e481a5e75b450001a690f9,9
5a00f2cdff266c0001d1f42c,20
5a0e9f5c9b760100013a7944,12
5a9c91196219a30001f534a5,16
5b1bc42168a5ed0001737ef3,13
5b228fcf50fde60001033592,16
5b2fda4e530770000105a60a,18
5bd283469afb5b00015bdd5a,15
5bf1de1556a321000106fae0,17
5c51c71e556ac300018be1b7,11
5cd1a622fa7c8b0001a48044,18
5cd1d1f7db7024000195cc75,20
5cdc899d48d5f100195fafff,4
5d35c29a467d18001981d677,12
5d9750fe74d24900145633a7,11
5dbf5fe16849043f135aa2c0,18
5de21543762dc22548c937b3,10
5e718c86686c0c0b7759f340,24
5e98e245aa25c6120f522a40,20
5e9f383061281c0c4c598dc9,18
5ea96c415a6a4e068b6d1e84,17
5ee55d2d0eccfc2a733ad0db,28
5eecb9e2c93c1e0677084323,16
5f0736cfad4f1e0c3c838655,21
5f1072dbfd703f084bb995f7,17
5fe469705312ca1c46a69898,12
6009f30d89becb1172102508,12
60151380a2273d594f63aae3,13
60858334390f28f5a4fb79d3,8
6086c333d6eb73cfdd564e90,21
6091ac218e7f69f8814a5af2,17
60a3ac51b06fa9eb29a105bc,16
60b36a96346dd63678e6cfe6,23
60ce5270f1695ea416c25fc3,17
60ede71b5261321901a2a31c,13
610525c46749d49578a452d7,25
6116754fdcf6e3da227e654f,10
6143e022ec8dfbce17b7e211,12
6166c2849af8d8e1858e3b14,16
62029a55ef1cb18a1337c61a,17
622b9908a530683a9c67740b,8
6234b3775193f8e94ee8c626,9
62a33f629f9fe91f831c2afc,0
62ab399e15b98baaf3099d60,18
62ce9e5c0d6c8df3051e01ea,17
631745d0e4433095276973e4,17
63337737be6252ad76e5f983,16
634e7bbcec6f28ed59e5bd59,19
6382a4cdf6fc083a8c910c7a,16
63b726bd148ea7d9910f50d2,11
63d13ca3a2e69ec8e19569f2,9
63d161e70272bba9f3f70980,16
63d447dff5d5b197f0d02275,11
63d7d6cae0accfd4f01d661e,17
63f81021ab46acf095efff80,16
6400df45e639d203b8518cad,17
6418dc6fd0f852a233a10350,12
642c017454a2ad4b871f3dbf,12
648377e2d90103fb05768d81,11
6530316e660f5b8d9c11c00e,24
6539136dbf3e86f94f401083,8
653d14bc14d143d888af01b0,13
65995e16bdbcee787c8ffc8c,10
65ad35a96f13be31e82d4d70,16
65e5d4a89070326bc76fae1a,14
661a9d90ad9d4689a46475c0,10
661d1672f01169fe41f1f001,17
66369eca2e8f469b0d247ad8,22
663bdaa8efe54667f41a46ca,12
6655dd1f8fa8f27af8a98304,17
6658b23217b161dc426bd14d,11
6658d40b7c86929c183cea9b,13
665ceb52bf7bc5f5f2016e83,16
665e680164927b18554b66ec,12
66798cc98973f70b7de20460,15
6686a08d1b81f0919733a674,17
66a8f82143da40a6b126975e,18
66ae0709d8dd8981a2d6ee04,22
66d45f42363a8f00a02d8581,17
66da0c1177b19236098c299a,16
66dcc0e54f44ccecf2730c76,11
66fa8891ce6034e440bb5ec8,18
66fcdc229c37d1da9d61017c,16
672a57f001263d65e0a989d7,11
673bb97db4dca498acdce737,19
674872ead208fe132ec3f4a4,16
6751389a1e96f3f33e76809b,18
675a42d99110f59947a4f393,17
67606cca6591f7023be55e8e,17
676692edff6a31f5874096e3,21
6772ec8f30df005ab821178c,16
67803a05b60a2727e9fa85b4,16
67842c60c9cba1e154a69bbd,19
678e3386256d5b8e6ee50cb3,19
679332b7a7378f8f63f9ab84,9
67a93cc4edad2048c6746727,16
67bf2c95cf70e4409f3fb705,17
67c5d7d4bfda0ffd6d9a5ef8,18
67e0863f736da524dbe7ac66,9
67e3af773eb23823fcdff620,12
67e6d14022a912cd6c3fb682,19
67e8e0c0be5802df7311d109,18
67f7f883cb3cd4c0f5177411,16
6912179bef81177cf16f4c4c,9
