quartet_id,pattern,max_r2,gap_max_second,gap_max_min,avg_male_r2,avg_female_r2,self_female,self_r2,n_max_r2,rank1_gender,rank2_gender,rank3_gender,rank4_gender,gini_r2
68,MMFF,12.0,1.0,3.0,11.5,9.0,1,9.0,1,M,M,F,F,0.0670731707317073
69,MMFF,12.0,2.0,8.0,11.0,6.5,1,9.0,1,M,M,F,F,0.1785714285714285
83,FFMM,17.0,3.0,7.0,10.5,15.5,1,14.0,1,F,F,M,M,0.1153846153846153
89,MFMF,16.0,2.0,8.0,13.5,11.0,1,14.0,1,M,F,M,F,0.1377551020408163
96,MMFF,22.0,2.0,8.0,21.0,15.5,1,14.0,1,M,M,F,F,0.0924657534246575
168,MFMF,21.0,5.0,20.0,15.0,8.5,0,21.0,1,M,F,M,F,0.3563829787234042
182,MMFF,19.0,6.0,10.0,16.0,10.0,0,19.0,1,M,M,F,F,0.1538461538461538
196,MMFF,19.0,8.0,15.0,15.0,6.5,0,19.0,1,M,M,F,F,0.2732558139534883
202,MFMF,23.0,5.0,14.0,20.5,13.5,0,23.0,1,M,F,M,F,0.1544117647058823
204,MMFF,23.0,11.0,21.0,17.5,3.0,0,23.0,1,M,M,F,F,0.4329268292682927
208,MMFF,23.0,13.0,19.0,16.5,6.5,0,23.0,1,M,M,F,F,0.3152173913043478
209,MFFM,23.0,5.0,21.0,12.5,17.5,0,23.0,1,M,F,F,M,0.2666666666666666
210,MFMF,23.0,4.0,14.0,17.5,14.0,0,23.0,1,M,F,M,F,0.1944444444444444
211,MFMF,23.0,5.0,13.0,17.5,14.0,0,23.0,1,M,F,M,F,0.1785714285714285
218,MFMF,23.0,7.0,19.0,18.0,10.0,0,23.0,1,M,F,M,F,0.2678571428571428
220,FMMF,26.0,3.0,18.0,19.5,17.0,0,23.0,1,F,M,M,F,0.2089041095890411
285,FMMF,20.0,2.0,16.0,16.0,12.0,0,14.0,1,F,M,M,F,0.2321428571428571
286,MFMF,14.0,1.0,4.0,12.5,11.5,0,14.0,1,M,F,M,F,0.0729166666666666
367,MFFM,12.0,1.0,3.0,10.5,10.0,1,11.0,1,M,F,F,M,0.0670731707317073
