quartet_id,pattern,max_r2,gap_max_second,gap_max_min,avg_male_r2,avg_female_r2,self_female,self_r2,n_max_r2,rank1_gender,rank2_gender,rank3_gender,rank4_gender,gini_r2
1,MFMF,19.0,7.0,15.0,13.5,8.0,0,19.0,1,M,F,M,F,0.28488372093023256
2,MFFM,19.0,3.0,8.0,15.0,14.0,0,19.0,1,M,F,F,M,0.1206896551724138
3,MMFF,25.0,6.0,16.0,22.0,9.5,0,19.0,1,M,M,F,F,0.2261904761904762
4,MMFF,19.0,4.0,15.0,17.0,6.0,0,19.0,1,M,M,F,F,0.2826086956521739
5,MMFF,19.0,1.0,3.0,18.5,16.0,0,19.0,1,M,M,F,F,0.03985507246376811
6,MMFF,19.0,2.0,11.0,18.0,8.5,0,19.0,1,M,M,F,F,0.19339622641509435
7,MMFF,19.0,3.0,18.0,17.5,6.5,0,19.0,1,M,M,F,F,0.3020833333333333
8,FMMF,23.0,3.0,6.0,19.5,20.0,0,19.0,1,F,M,M,F,0.060126582278481014
9,MFMF,19.0,10.0,15.0,14.0,6.5,0,19.0,1,M,F,M,F,0.27439024390243905
10,MFFM,19.0,0.0,7.0,15.5,17.5,0,19.0,2,M,F,F,M,0.09090909090909091
11,MMFF,23.0,4.0,22.0,21.0,4.5,0,19.0,1,M,M,F,F,0.37745098039215685
12,MMFF,32.0,13.0,25.0,25.5,8.0,0,19.0,1,M,M,F,F,0.31716417910447764
13,MMFF,19.0,0.0,12.0,19.0,9.0,0,19.0,2,M,M,F,F,0.19642857142857142
14,MFFM,19.0,3.0,9.0,14.5,14.5,0,19.0,1,M,F,F,M,0.12931034482758622
15,MMFF,19.0,7.0,17.0,15.5,6.5,0,19.0,1,M,M,F,F,0.29545454545454547
16,MMFF,19.0,2.0,10.0,18.0,10.5,0,19.0,1,M,M,F,F,0.15350877192982457
17,FMMF,24.0,5.0,19.0,14.5,14.5,0,19.0,1,F,M,M,F,0.28448275862068967
18,MMFF,25.0,6.0,12.0,22.0,15.0,0,19.0,1,M,M,F,F,0.12837837837837837
19,MFMF,19.0,5.0,11.0,14.0,11.0,0,19.0,1,M,F,M,F,0.19
20,MMFF,19.0,3.0,16.0,17.5,7.0,0,19.0,1,M,M,F,F,0.27040816326530615
21,MFMF,20.0,12.0,16.0,12.5,6.0,0,20.0,1,M,F,M,F,0.34459459459459457
22,MMFF,20.0,4.0,11.0,18.0,10.5,0,20.0,1,M,M,F,F,0.16228070175438597
23,MFFM,20.0,1.0,10.0,15.0,17.0,0,20.0,1,M,F,F,M,0.1328125
24,FMFM,21.0,1.0,9.0,16.0,19.5,0,20.0,1,F,M,F,M,0.10211267605633803
25,MMFF,20.0,1.0,11.0,19.5,12.5,0,20.0,1,M,M,F,F,0.140625
26,MMFF,20.0,0.0,13.0,20.0,8.5,0,20.0,2,M,M,F,F,0.2149122807017544
27,MFFM,20.0,7.0,12.0,14.0,12.0,0,20.0,1,M,F,F,M,0.18269230769230768
28,MFMF,20.0,3.0,8.0,18.5,14.5,0,20.0,1,M,F,M,F,0.09090909090909091
29,MFFM,20.0,4.0,11.0,14.5,12.5,0,20.0,1,M,F,F,M,0.18518518518518517
30,MFFM,20.0,2.0,9.0,15.5,15.0,0,20.0,1,M,F,F,M,0.13524590163934427
31,MMFF,20.0,0.0,11.0,20.0,9.0,0,20.0,2,M,M,F,F,0.1896551724137931
32,MFMF,20.0,3.0,5.0,18.0,16.0,0,20.0,1,M,F,M,F,0.058823529411764705
33,MFFM,20.0,8.0,19.0,10.5,9.0,0,20.0,1,M,F,F,M,0.40384615384615385
34,MMFF,20.0,0.0,15.0,20.0,7.0,0,20.0,2,M,M,F,F,0.25925925925925924
35,MMFF,20.0,1.0,15.0,19.5,7.5,0,20.0,1,M,M,F,F,0.25
36,MMFF,20.0,8.0,14.0,16.0,8.0,0,20.0,1,M,M,F,F,0.22916666666666666
37,FMFM,24.0,4.0,15.0,14.5,20.0,0,20.0,1,F,M,F,M,0.17753623188405798
38,MMFF,20.0,2.0,16.0,19.0,7.0,0,20.0,1,M,M,F,F,0.2692307692307692
39,FMFM,24.0,4.0,8.0,18.0,21.0,0,20.0,1,F,M,F,M,0.08333333333333333
40,MMFF,20.0,1.0,12.0,19.5,8.5,0,20.0,1,M,M,F,F,0.20535714285714285
41,FMMF,12.0,1.0,3.0,11.0,10.5,0,11.0,1,F,M,M,F,0.05232558139534884
42,MMFF,16.0,5.0,14.0,13.5,6.5,0,11.0,1,M,M,F,F,0.2625
43,FMMF,21.0,9.0,17.0,11.5,12.5,0,11.0,1,F,M,M,F,0.2708333333333333
44,FMMF,17.0,6.0,13.0,9.5,10.5,0,11.0,1,F,M,M,F,0.2625
45,FMMF,22.0,11.0,18.0,10.0,13.0,0,11.0,1,F,M,M,F,0.30434782608695654
46,FFMM,17.0,0.0,7.0,10.5,17.0,0,11.0,2,F,F,M,M,0.12272727272727273
47,MFFM,11.0,2.0,3.0,9.5,8.5,0,11.0,1,M,F,F,M,0.06944444444444445
48,FMFM,18.0,7.0,17.0,6.0,14.5,0,11.0,1,F,M,F,M,0.31097560975609756
49,FMMF,16.0,5.0,7.0,10.5,12.5,0,11.0,1,F,M,M,F,0.11956521739130435
