worker_id,rep,role,quartet_pos,participantlabel,female,r2score,quartet_id,r3score
55747e4afdf99b6752df4183,8,self,1,55747e4afdf99b6752df4183,1.0,9.0,68,8.0
55747e4afdf99b6752df4183,8,other,2,5e372dfecb3c096c83115563,1.0,9.0,68,11.0
55747e4afdf99b6752df4183,8,other,3,5ee0df4ff87654455ad1cb9a,0.0,12.0,68,11.0
55747e4afdf99b6752df4183,8,other,4,6114ba31072fc0bcc226b89d,0.0,11.0,68,16.0
55747e4afdf99b6752df4183,9,self,1,55747e4afdf99b6752df4183,1.0,9.0,69,8.0
55747e4afdf99b6752df4183,9,other,2,5ea015577dd57200089eb811,1.0,4.0,69,4.0
55747e4afdf99b6752df4183,9,other,3,5d514a73f20feb00160b5e0e,0.0,10.0,69,16.0
55747e4afdf99b6752df4183,9,other,4,65e9b627677d2452e3c72b89,0.0,12.0,69,17.0
55885869fdf99b4020ba0b64,3,self,1,55885869fdf99b4020ba0b64,1.0,14.0,83,18.0
55885869fdf99b4020ba0b64,3,other,2,6634e6202da0719ae4ec6455,1.0,17.0,83,11.0
55885869fdf99b4020ba0b64,3,other,3,5ea433f82992293d5e604ad1,0.0,10.0,83,14.0
55885869fdf99b4020ba0b64,3,other,4,60e990a445aa4bae855c303f,0.0,11.0,83,9.0
55885869fdf99b4020ba0b64,9,self,1,55885869fdf99b4020ba0b64,1.0,14.0,89,18.0
55885869fdf99b4020ba0b64,9,other,2,5f146f8b9a35f72602d03ddc,1.0,8.0,89,9.0
55885869fdf99b4020ba0b64,9,other,3,66ae0709d8dd8981a2d6ee04,0.0,16.0,89,22.0
55885869fdf99b4020ba0b64,9,other,4,5c3c7913b4f22c0001a0809c,0.0,11.0,89,13.0
55885869fdf99b4020ba0b64,16,self,1,55885869fdf99b4020ba0b64,1.0,14.0,96,18.0
55885869fdf99b4020ba0b64,16,other,2,6112c7a6b0cc80578975e648,1.0,17.0,96,25.0
55885869fdf99b4020ba0b64,16,other,3,64125a2a86177f9e395541f1,0.0,22.0,96,25.0
55885869fdf99b4020ba0b64,16,other,4,5ee267c69586fe718ee7c582,0.0,20.0,96,16.0
559d75befdf99b1e2b2dc522,8,self,1,559d75befdf99b1e2b2dc522,0.0,21.0,168,16.0
559d75befdf99b1e2b2dc522,8,other,2,63d408a690705bd9c54c50a6,1.0,16.0,168,16.0
559d75befdf99b1e2b2dc522,8,other,3,65fb799d1bb244733095cf20,1.0,1.0,168,5.0
559d75befdf99b1e2b2dc522,8,other,4,570570eb61ab6a0010d484d0,0.0,9.0,168,17.0
55b5f6b6fdf99b713277dc94,2,self,1,55b5f6b6fdf99b713277dc94,0.0,19.0,182,10.0
55b5f6b6fdf99b713277dc94,2,other,2,670ff7a65beb0c8e83fe3fa3,1.0,9.0,182,8.0
55b5f6b6fdf99b713277dc94,2,other,3,5a75d51a0f1bce0001219703,1.0,11.0,182,9.0
55b5f6b6fdf99b713277dc94,2,other,4,586d6b28de1cea0001f7a125,0.0,13.0,182,24.0
55b5f6b6fdf99b713277dc94,16,self,1,55b5f6b6fdf99b713277dc94,0.0,19.0,196,10.0
55b5f6b6fdf99b713277dc94,16,other,2,672a401ef9623837c59f3af2,1.0,4.0,196,12.0
55b5f6b6fdf99b713277dc94,16,other,3,6599760dff590951e558d1fc,1.0,9.0,196,16.0
55b5f6b6fdf99b713277dc94,16,other,4,648646988a5170373da06a9e,0.0,11.0,196,16.0
55b8d0bffdf99b0f2859fe73,2,self,1,55b8d0bffdf99b0f2859fe73,0.0,23.0,202,33.0
55b8d0bffdf99b0f2859fe73,2,other,2,5a9c4162b5e2110001c6d247,1.0,18.0,202,9.0
55b8d0bffdf99b0f2859fe73,2,other,3,6786ac16415168abd9f21d6b,1.0,9.0,202,16.0
55b8d0bffdf99b0f2859fe73,2,other,4,59d395800118340001369be1,0.0,18.0,202,16.0
55b8d0bffdf99b0f2859fe73,4,self,1,55b8d0bffdf99b0f2859fe73,0.0,23.0,204,33.0
55b8d0bffdf99b0f2859fe73,4,other,2,5e695632d40a492070942196,1.0,2.0,204,8.0
55b8d0bffdf99b0f2859fe73,4,other,3,6701206a49833a2065d10763,1.0,4.0,204,9.0
55b8d0bffdf99b0f2859fe73,4,other,4,614ff24d1d1982c8442aad56,0.0,12.0,204,13.0
55b8d0bffdf99b0f2859fe73,8,self,1,55b8d0bffdf99b0f2859fe73,0.0,23.0,208,33.0
55b8d0bffdf99b0f2859fe73,8,other,2,667852bad1ab6be8543df6d8,1.0,4.0,208,20.0
55b8d0bffdf99b0f2859fe73,8,other,3,5d47901043518d0017bf3c04,1.0,9.0,208,8.0
55b8d0bffdf99b0f2859fe73,8,other,4,5f96d1d4c1cd3c03ad1ee15c,0.0,10.0,208,16.0
55b8d0bffdf99b0f2859fe73,9,self,1,55b8d0bffdf99b0f2859fe73,0.0,23.0,209,33.0
55b8d0bffdf99b0f2859fe73,9,other,2,5f42966cafb00848de3c0355,1.0,17.0,209,16.0
55b8d0bffdf99b0f2859fe73,9,other,3,615a170c6eca532c6f57e09c,1.0,18.0,209,16.0
55b8d0bffdf99b0f2859fe73,9,other,4,632b3639f61612815d100608,0.0,2.0,209,10.0
55b8d0bffdf99b0f2859fe73,10,self,1,55b8d0bffdf99b0f2859fe73,0.0,23.0,210,33.0
55b8d0bffdf99b0f2859fe73,10,other,2,63d8c92d2f5a27eb3c7edb89,1.0,19.0,210,16.0
55b8d0bffdf99b0f2859fe73,10,other,3,5c1ebf5f658e9200017ae7e9,1.0,9.0,210,12.0
55b8d0bffdf99b0f2859fe73,10,other,4,677168d70ec2f9f7f9f6ac05,0.0,12.0,210,21.0
55b8d0bffdf99b0f2859fe73,11,self,1,55b8d0bffdf99b0f2859fe73,0.0,23.0,211,33.0
55b8d0bffdf99b0f2859fe73,11,other,2,676bc93236a95a162cd215a4,1.0,18.0,211,16.0
55b8d0bffdf99b0f2859fe73,11,other,3,671fae2215cb796cfc9d1207,1.0,10.0,211,18.0
55b8d0bffdf99b0f2859fe73,11,other,4,6445b13023ac3b3eb202881f,0.0,12.0,211,12.0
55b8d0bffdf99b0f2859fe73,18,self,1,55b8d0bffdf99b0f2859fe73,0.0,23.0,218,33.0
